板块,平均涨跌幅,成交额(亿),上涨数,下跌数,个股数,最大涨幅,最大跌幅
AI算力,0.74,394.96,5,3,8,3.07,-2.26
光模块,0.56,752.17,6,3,9,10.0,-5.33
PCB,0.13,464.86,4,5,9,6.65,-5.69
光通信,-0.71,497.56,3,5,8,2.98,-3.41
CPO(共封装光学),-1.08,649.06,3,5,8,5.01,-7.2
OCS(光电路交换),-1.67,574.52,3,3,6,2.55,-7.2
