代码,名称,今开,昨收,最新价,最高,最低,成交量,成交额,涨跌幅,涨跌额,振幅
002415,海康威视,36.68,36.29,36.04,37.09,35.79,93010573,3381203623.04,-0.69,-0.25,3.58
603019,中科曙光,96.0,92.96,99.8,102.26,96.0,133799016,13421765665.0,7.36,6.84,6.73
688256,寒武纪,1784.78,1699.96,1825.0,1966.0,1770.99,19780525,36853365889.0,7.36,125.04,11.47
300474,景嘉微,67.58,65.98,67.16,70.35,66.95,28253467,1932759688.41,1.79,1.18,5.15
000977,浪潮信息,71.0,69.75,73.22,74.78,71.0,100776559,7379135088.37,4.97,3.47,5.42
000938,紫光股份,32.47,31.99,31.85,33.06,31.8,244376509,7906131025.3,-0.44,-0.14,3.94
002230,科大讯飞,48.35,47.79,49.48,50.19,48.34,70810376,3509881052.9,3.54,1.69,3.87
000066,中国长城,21.8,19.82,21.8,21.8,21.8,38866966,847299858.8,9.99,1.98,0.0
300308,中际旭创,888.5,857.5,856.0,889.0,840.45,30938572,26756822154.31,-0.17,-1.5,5.66
300502,新易盛,539.9,525.79,522.48,542.58,517.0,42093269,22190843776.23,-0.63,-3.31,4.87
688498,源杰科技,1589.0,1571.0,1531.01,1612.0,1505.05,3978077,6188410380.0,-2.55,-39.99,6.81
688195,腾景科技,336.0,332.0,337.9,351.0,333.02,7556544,2585762690.0,1.78,5.9,5.42
002281,光迅科技,147.16,144.28,150.82,158.3,147.16,69466756,10596209904.52,4.53,6.54,7.72
688048,长光华芯,355.0,352.03,372.01,390.0,344.2,16927553,6242726111.0,5.68,19.98,13.01
688313,仕佳光子,136.0,131.82,151.23,155.6,136.0,51123081,7534489304.0,14.72,19.41,14.87
688205,德科立,243.37,240.96,242.22,249.87,233.33,16107492,3908312265.0,0.52,1.26,6.86
300394,天孚通信,312.85,307.5,316.16,336.58,311.0,54066798,17549577559.59,2.82,8.66,8.32
300570,太辰光,138.51,135.92,143.87,151.05,137.0,27701989,3974739100.64,5.85,7.95,10.34
603083,剑桥科技,185.8,174.97,179.22,185.9,176.35,33073889,5954578014.0,2.43,4.25,5.46
300548,长芯博创,261.0,256.69,252.48,264.79,250.0,22762105,5851124120.94,-1.64,-4.21,5.76
301205,联特科技,245.99,235.4,261.75,272.56,243.0,11985896,3129548390.39,11.19,26.35,12.56
000988,华工科技,123.01,119.53,125.19,129.44,121.66,108885994,13650478456.39,4.74,5.66,6.51
600498,烽火通信,47.4,46.68,48.59,49.85,47.4,113586142,5562117724.0,4.09,1.91,5.25
601869,长飞光纤,362.0,353.9,361.05,370.0,353.5,17378892,6286263257.0,2.02,7.15,4.66
600487,亨通光电,67.5,65.7,71.8,72.27,67.5,191574699,13541236056.0,9.28,6.1,7.26
600522,中天科技,33.67,33.12,34.89,35.25,33.67,234412095,8128161194.0,5.34,1.77,4.77
002491,通鼎互联,16.03,15.8,17.07,17.36,15.88,150571590,2512256393.06,8.04,1.27,9.37
600105,永鼎股份,43.31,42.41,43.68,44.78,43.04,147618591,6470187804.0,2.99,1.27,4.1
002463,沪电股份,104.9,102.57,104.79,107.5,103.9,66111485,6966071746.73,2.16,2.22,3.51
002916,深南电路,325.41,312.5,318.75,337.77,318.49,11953673,3897876160.21,2.0,6.25,6.17
600183,生益科技,78.8,76.51,80.81,82.77,78.8,60316719,4912337177.0,5.62,4.3,5.19
002938,鹏鼎控股,73.0,72.05,75.13,75.45,71.68,53097469,3915390231.35,4.27,3.08,5.23
300476,胜宏科技,334.01,328.49,325.92,338.89,325.0,52171288,17250510492.95,-0.78,-2.57,4.23
002436,兴森科技,29.65,27.71,29.47,30.48,29.36,210739449,6320633608.1,6.35,1.76,4.04
002815,崇达技术,14.16,13.9,14.44,14.88,14.1,47731848,688701701.63,3.88,0.54,5.61
603228,景旺电子,71.5,70.17,70.17,72.17,69.7,43917074,3109472459.0,0.0,0.0,3.52
603920,世运电路,53.5,52.65,54.88,56.48,53.5,30749943,1684607256.0,4.24,2.23,5.66
