板块,平均涨跌幅,成交额(亿),上涨数,下跌数,个股数,最大涨幅,最大跌幅
AI算力,0.67,481.15,7,1,8,2.23,-2.12
CPO(共封装光学),-2.14,1211.88,2,5,8,5.1,-11.67
PCB,-2.94,503.65,2,7,9,0.42,-5.92
光通信,-3.41,723.07,2,6,8,1.05,-7.49
光模块,-4.49,1396.76,0,9,9,-0.69,-11.67
OCS(光电路交换),-4.74,1205.62,0,6,6,-0.69,-11.67
