代码,名称,今开,昨收,最新价,最高,最低,成交量,成交额,涨跌幅,涨跌额,振幅
002415,海康威视,33.55,33.6,33.97,34.39,33.51,50032769,1701721545.0,1.1,0.37,2.62
603019,中科曙光,94.76,92.76,94.24,95.1,92.23,76916304,7227420272.0,1.6,1.48,3.09
688256,寒武纪,1350.05,1352.5,1356.72,1386.0,1341.28,7093204,9653255998.0,0.31,4.22,3.31
300474,景嘉微,61.51,60.8,63.68,64.1,61.05,15691885,992128596.55,4.74,2.88,5.02
000977,浪潮信息,75.0,74.85,73.16,75.99,72.95,67154361,4946254371.23,-2.26,-1.69,4.06
000938,紫光股份,31.98,31.32,32.19,32.86,31.25,228551343,7349564292.54,2.78,0.87,5.14
002230,科大讯飞,49.08,49.07,49.81,50.02,48.54,38620772,1913134435.43,1.51,0.74,3.02
000066,中国长城,16.62,16.45,16.77,17.25,16.12,243769457,4080562265.92,1.95,0.32,6.87
300308,中际旭创,899.0,886.99,857.03,900.0,854.0,31814871,27543690271.11,-3.38,-29.96,5.19
300502,新易盛,549.4,537.27,538.0,553.0,534.86,46808200,25436042379.65,0.14,0.73,3.38
688498,源杰科技,1399.19,1395.0,1418.0,1422.99,1340.0,3443257,4754779341.0,1.65,23.0,5.95
688195,腾景科技,342.03,345.0,339.65,348.8,334.1,7003164,2387450005.0,-1.55,-5.35,4.26
002281,光迅科技,131.34,128.7,134.52,141.46,130.3,77579220,10499823750.56,4.52,5.82,8.67
688048,长光华芯,392.94,385.73,385.0,396.66,370.0,15700579,5999893478.0,-0.19,-0.73,6.91
688313,仕佳光子,142.0,143.5,145.26,149.99,134.01,46464704,6542596201.0,1.23,1.76,11.14
688205,德科立,231.44,229.6,236.57,243.88,225.0,10827409,2546892829.0,3.04,6.97,8.22
300394,天孚通信,325.0,323.87,322.25,332.99,317.9,35815190,11633657946.95,-0.5,-1.62,4.66
300570,太辰光,135.2,134.1,149.82,150.66,135.0,42281756,6113228915.77,11.72,15.72,11.68
603083,剑桥科技,155.64,153.64,153.59,160.36,152.72,25068463,3908336974.0,-0.03,-0.05,4.97
300548,长芯博创,260.1,260.1,255.14,265.0,252.61,16261856,4183322602.31,-1.91,-4.96,4.76
301205,联特科技,261.04,257.52,259.58,261.99,252.52,6620359,1704121300.76,0.8,2.06,3.68
000988,华工科技,116.1,115.32,118.79,121.25,116.0,90173686,10739392372.34,3.01,3.47,4.55
600498,烽火通信,51.05,52.26,51.6,53.98,51.05,130761815,6861251666.0,-1.26,-0.66,5.61
601869,长飞光纤,378.0,368.16,377.5,394.0,374.09,17541034,6726492688.0,2.54,9.34,5.41
600487,亨通光电,69.54,69.54,71.38,74.49,68.9,249512238,17920805105.0,2.65,1.84,8.04
600522,中天科技,34.29,33.21,35.78,36.53,34.23,339355803,12223484606.0,7.74,2.57,6.93
002491,通鼎互联,15.61,15.65,16.82,17.0,15.45,200059470,3229289327.85,7.48,1.17,9.9
600105,永鼎股份,49.91,49.01,48.52,50.4,47.28,139435048,6753524575.0,-1.0,-0.49,6.37
002463,沪电股份,104.01,102.38,104.95,106.88,103.2,70390326,7390438571.86,2.51,2.57,3.59
002916,深南电路,307.39,301.36,321.8,330.98,307.39,13828996,4461181244.29,6.78,20.44,7.83
600183,生益科技,74.0,72.63,76.67,77.63,74.0,55787247,4246757302.0,5.56,4.04,5.0
002938,鹏鼎控股,72.73,71.59,77.18,77.73,72.0,52592462,3985280727.26,7.81,5.59,8.0
300476,胜宏科技,318.64,315.59,317.4,327.0,315.59,35062042,11269476109.35,0.57,1.81,3.62
002436,兴森科技,28.3,28.52,29.23,30.38,28.18,198532974,5836850425.42,2.49,0.71,7.71
002815,崇达技术,15.32,15.18,15.62,15.83,15.28,31549740,492054960.42,2.9,0.44,3.62
603228,景旺电子,71.37,68.5,75.35,75.35,70.9,43425352,3211814057.0,10.0,6.85,6.5
603920,世运电路,54.93,55.26,56.15,57.0,54.93,27083208,1520634995.0,1.61,0.89,3.75
