date,code,ai_score,signal_level,future_ret,momentum_score,relative_score,vol_price_score,location_score,external_score,quintile,pred_dir,actual_dir
2025-09-12,002415,63.7734537249294,0,0.0,82.2128131059317,59.45945945945947,21.965715715715717,73.15497315497315,50.0,4,0,0
2025-09-12,603019,26.128311906695313,0,0.10737981014596301,30.434094416524864,7.757697673664052,71.47772772772774,27.500227500227496,50.0,1,0,1
2025-09-12,688256,21.68882988279425,0,-0.030913978494623656,13.513513513513516,11.161221245254856,70.25150150150151,28.83792883792884,50.0,1,0,-1
2025-09-12,300474,78.55147423413841,0,0.006892150606254069,93.87835859285346,78.02796794393434,38.75750750750751,87.90608790608789,50.0,5,0,1
2025-09-12,000977,52.477794864793,0,0.01576154806491893,66.42396422777097,41.241361409428634,37.66266266266267,74.56547456547457,50.0,3,0,1
2025-09-12,000938,57.6907557650711,0,0.0044398907103824796,58.6047247833485,56.40634632231271,66.26001001001,53.353353353353356,50.0,4,0,1
2025-09-12,002230,69.17142148795963,0,0.01806877792889061,81.21957975545091,72.27215210408487,20.72697697697698,79.60687960687962,50.0,5,0,1
2025-09-12,000066,68.54813268466552,0,-0.0023995200959809654,89.46618653792886,62.16216216216217,24.005255255255257,85.31258531258531,50.0,5,0,-1
2025-09-12,300308,29.90900565548266,0,-0.03764599966831715,14.807486842625933,36.637357645761014,47.935435435435444,22.012922012922004,50.0,1,0,-1
2025-09-12,300502,36.251122832484164,0,-0.028828426169059704,24.763562977325783,42.04276305116641,42.18593593593594,38.802438802438814,50.0,2,0,-1
2025-09-12,688498,46.119293316182436,0,0.011720317893553813,33.29903842348938,55.205866130235876,57.401151151151154,35.116935116935124,50.0,3,0,1
2025-09-12,688195,19.576611309528086,0,0.06806486066608414,3.8463060424993074,14.915155251289708,81.81931931931932,7.261807261807258,50.0,1,0,1
2025-09-12,002281,40.108959664264106,0,0.0337682271680735,48.64864864864865,25.12572596606211,53.541041041041055,58.74965874965876,50.0,2,0,1
2025-09-12,688048,50.743782202835646,0,-0.02696485623003194,68.27193225436271,26.777197365432663,78.14064064064065,65.21066521066521,50.0,3,0,-1
2025-09-12,688313,64.83297642231435,0,-0.009536784741144453,46.38518459894741,84.83501508711592,53.97272272272272,63.16316316316317,50.0,4,0,-1
2025-09-12,688205,66.73083280036217,0,0.20867768595041325,38.13857781646948,97.29729729729729,43.931431431431434,71.0892710892711,50.0,5,0,1
2025-09-12,300394,39.164127568142455,0,-0.01928359816859689,20.50176091171698,51.20210246260666,49.61211211211212,35.053235053235056,50.0,2,0,-1
2025-09-12,300570,56.20114331294868,0,-0.029145299145299116,85.48138182105971,32.53301320528211,39.87112112112112,82.18218218218219,50.0,4,0,-1
2025-09-12,603083,9.780805133769768,0,0.17134693073209184,2.7027027027026946,0.3504104344440469,53.05305305305306,5.487305487305488,50.0,1,0,1
2025-09-12,300548,71.37102337647406,0,0.005448906027328288,51.36322266629734,94.59459459459461,56.788038038038046,68.57766857766858,50.0,5,0,1
2025-09-12,301205,76.82224034723369,0,0.06845266469634849,76.10304301373115,80.73067064663704,83.6524024024024,66.14796614796614,50.0,5,0,1
2025-09-12,000988,25.680472416048058,0,0.11000129718510818,18.918918918918923,16.56662665066026,76.60785785785787,17.61761761761762,50.0,1,0,1
2025-09-12,600498,61.0618402236323,0,0.028202115158636853,84.06078113252346,49.6998799519808,23.686186186186188,80.75348075348074,50.0,4,0,1
2025-09-12,601869,54.596840259562924,0,0.1162374020156776,22.349728938308726,88.48836832030109,47.7977977977978,25.75302575302575,50.0,3,0,1
2025-09-12,600487,62.083815402746545,0,-0.017509727626459116,68.42230224367853,70.62068070471433,17.010760760760764,58.658658658658666,50.0,4,0,-1
2025-09-12,600522,75.4705296894874,0,-0.022896039603960458,82.36318309524752,91.54148145744784,10.76701701701702,64.7101647101647,50.0,5,0,-1
2025-09-12,002491,33.79346709112728,0,-0.051359516616314174,53.61481540105258,5.7558158398494506,73.47972972972974,31.37683137683138,50.0,2,0,-1
2025-09-12,600105,40.43050295709163,0,-0.02051739518287247,50.20774801155475,27.377437461471082,55.8933933933934,39.812539812539804,50.0,2,0,-1
2025-09-12,002463,41.05174371393462,0,-0.013908205841446452,37.54896917415219,40.439959767690866,60.64814814814815,26.12612612612613,50.0,2,0,-1
2025-09-12,002916,55.75944796165482,0,-0.037979218917950634,33.71453444659887,80.52950910093769,48.66741741741742,32.359632359632364,50.0,3,0,-1
2025-09-12,600183,56.161547748226816,0,0.006774557771923211,52.91045071425744,60.6599396515363,54.748498498498506,52.042952042952045,50.0,3,0,1
2025-09-12,002938,68.09005296176261,0,-0.03874439461883402,71.96786830754621,70.769929593459,55.643143143143156,65.38356538356538,50.0,5,0,-1
2025-09-12,300476,31.627999310131717,0,-0.01681488898050527,20.76688694551067,32.6822620940268,64.36436436436436,15.806715806715806,50.0,2,0,-1
2025-09-12,002436,29.15122846856428,0,-0.004005340453938579,26.738158363341377,17.867687615586775,73.91766766766767,24.533624533624533,50.0,1,0,-1
2025-09-12,002815,57.12208153380713,0,-0.003019323671497413,48.78714732301848,63.36264235423899,55.0925925925926,68.14996814996815,50.0,4,0,-1
2025-09-12,603228,27.01511602003492,0,0.060026098303610276,38.68070119900281,2.352292268258648,73.07932932932934,29.383929383929384,50.0,1,0,1
2025-09-12,603920,48.77424419899825,0,0.18524707567438525,58.881722132088164,50.54994970961357,15.584334334334338,39.78523978523979,50.0,3,0,1
2025-09-15,002415,71.47752179193284,0,0.01410298458510998,81.50844841913656,79.07919924726647,21.73423423423424,69.36936936936937,50.0,5,0,1
2025-09-15,603019,22.850072220585382,0,0.07280890103455015,21.76012029599145,10.46040037636676,65.85960960960962,16.707616707616715,50.0,1,0,1
2025-09-15,688256,21.76051150858383,0,-0.013201388888888882,16.21621621621621,13.863923947957565,52.414914914914924,28.146328146328145,50.0,1,0,-1
2025-09-15,300474,74.77351121395257,0,-0.006024868606588884,94.30572593090893,71.32150157360242,31.012262262262265,84.46628446628446,50.0,5,0,-1
2025-09-15,000977,53.00482548488398,0,0.028069625215618614,66.85133156582646,41.591771843872685,44.094094094094096,68.30466830466831,50.0,3,0,1
2025-09-15,000938,57.35009737203303,0,0.07579972183588315,64.86486486486487,57.807988060088896,35.0975975975976,57.48475748475749,50.0,3,0,1
2025-09-15,002230,72.86882801440099,0,0.01899224806201544,77.81251236595308,84.48460465267188,25.06256256256257,69.75156975156975,50.0,5,0,1
2025-09-15,000066,66.43250070064747,0,0.004224502112251073,90.32092121403981,60.510690762791604,11.361361361361364,80.83538083538083,50.0,4,0,1
2025-09-15,300308,28.05006216000632,0,0.003382187147688828,15.511851529421074,28.77907919924727,55.86836836836837,26.535626535626534,50.0,2,0,1
2025-09-15,300502,27.981111262818253,0,-0.013673993719668914,21.483122947251793,23.373673793841867,46.965715715715724,41.42324142324143,50.0,1,0,-1
2025-09-15,688498,32.80289529093039,0,0.068501780334155,29.72972972972973,25.025145193212424,61.61786786786788,37.1917371917372,50.0,2,0,1
2025-09-15,688195,15.12142759616835,0,0.045090909090909036,3.1300700407581745,3.0531131371467435,91.79179179179181,3.203203203203203,50.0,1,0,1
2025-09-15,002281,47.93386247188428,0,0.07224806201550382,43.104744568873414,44.99529541546349,63.150650650650654,63.11766311766311,50.0,3,0,1
2025-09-15,688048,62.79994897849192,0,0.003045147623460929,80.93071109176526,48.999059083092696,60.992242242242256,67.986167986168,50.0,4,0,1
2025-09-15,688313,76.9642382345121,0,0.047282992237120805,72.26860828617784,92.59271276077999,50.96971971971972,66.67576667576668,50.0,5,0,1
2025-09-15,688205,68.66282328592885,0,0.4716981132075471,57.76186142218353,87.18730735537459,33.746246246246244,78.11447811447813,50.0,4,0,1
2025-09-15,300394,37.974212580035505,0,-0.006462303231151703,13.952752166514978,52.4025826546835,48.96146146146147,43.52534352534353,50.0,2,0,-1
2025-09-15,300570,55.880965384421906,0,0.011139152380123585,84.19927980689327,33.83407417020863,34.72847847847848,83.99308399308399,50.0,3,0,1
2025-09-15,603083,11.005536911545951,0,0.061467889908256905,0.0,0.0,74.62462462462463,4.832104832104827,50.0,1,0,1
2025-09-15,300548,70.4473544270141,0,0.08425965210012734,52.356456016778125,95.89565555952112,41.385135135135144,66.80316680316679,50.0,5,0,1
2025-09-15,301205,59.33601974747947,0,0.05062689969604862,75.66380436072969,44.193893773725705,67.50500500500502,63.518063518063535,50.0,4,0,1
2025-09-15,000988,20.43883886545412,0,0.07765198129460975,13.086146175458037,8.458518542552147,82.24474474474475,11.85731185731186,50.0,1,0,1
2025-09-15,600498,70.52859360290894,0,0.1565879054865839,86.19761782280085,65.56568573375297,37.05580580580581,88.67048867048867,50.0,5,0,1
2025-09-15,601869,38.182430635900445,0,0.2610695802185164,16.65545486921767,55.105285357386194,47.27227227227228,21.16662116662117,50.0,2,0,1
2025-09-15,600487,60.141584684924226,0,0.10657370517928291,64.29899885243955,68.61879887089972,18.036786786786788,61.47056147056148,50.0,4,0,1
2025-09-15,600522,78.37807296794269,0,0.07579617834394912,80.94258240671127,89.8900100580773,41.747997997998006,74.20147420147418,50.0,5,0,1
2025-09-15,002491,39.63176484115064,0,-0.054432348367029496,51.200981362035535,16.917037085104308,88.0880880880881,36.44553644553645,50.0,3,0,-1
2025-09-15,600105,59.48279640981049,0,-0.07945205479452049,53.7770567053144,74.02420427630511,37.55630630630631,42.36964236964237,50.0,4,0,-1
2025-09-15,002463,37.478585338861855,0,0.09399477806788518,33.853033120968696,36.43619610006164,46.602852852852855,38.38383838383839,50.0,2,0,1
2025-09-15,002916,57.56377688510099,0,0.05121107266435989,35.85137113687626,77.5769767366406,63.87012012012012,41.03194103194103,50.0,3,0,1
2025-09-15,600183,38.79138311403666,0,0.048921130952381,35.70100114756045,33.733493397358934,63.65740740740742,37.73773773773774,50.0,2,0,1
2025-09-15,002938,66.05770820009056,0,0.011970534069981689,68.69929959241819,71.82116089679116,44.51951951951952,63.60906360906361,50.0,4,0,1
2025-09-15,300476,25.06537579855846,0,-0.0183881539021726,20.33951960745519,18.21809805003082,56.51901901901902,22.841022841022838,50.0,1,0,-1
2025-09-15,002436,31.176063726582203,0,0.04826341903473147,25.744925012860595,28.328087991953534,54.97997997997999,24.961324961324962,50.0,2,0,1
2025-09-15,002815,57.378087340198476,0,0.008459214501510609,56.04052075501563,59.00846825216573,59.3405905905906,56.44735644735644,50.0,3,0,1
2025-09-15,603228,28.03162974194614,0,0.06028985507246372,36.83273317241106,5.054994970961355,81.77552552552552,23.62362362362363,50.0,1,0,1
2025-09-15,603920,69.70800965815589,0,0.14637058261700084,57.045625420442406,91.7913111190422,57.789039039039054,34.543634543634546,50.0,5,0,1
2025-09-16,002415,73.99593624467327,0,-0.005183025591188861,79.66048039254483,86.48648648648648,20.001251251251254,72.4087724087724,50.0,5,0,-1
2025-09-16,603019,16.193921254410483,0,-0.04171151776103342,12.231411499347079,3.0531131371467435,63.006756756756765,17.50841750841751,50.0,1,0,-1
2025-09-16,688256,23.55255215332322,0,-0.06309284077494612,11.099679474496451,19.97015022225106,54.9049049049049,37.6922376922377,50.0,1,0,-1
2025-09-16,300474,73.08387289176973,0,-0.026837220968146485,90.74828855209529,65.56568573375297,50.1438938938939,82.76458276458276,50.0,5,0,-1
2025-09-16,000977,47.53858950681603,0,-0.018453561079761992,58.74322345771833,35.835956004023224,48.42967967967968,58.71325871325871,50.0,3,0,-1
2025-09-16,000938,48.445191402516585,0,0.017206477732793456,56.89525543112659,40.890950974984584,48.93643643643644,50.20475020475021,50.0,3,0,1
2025-09-16,002230,71.37238874077481,0,0.010139659460493475,74.25507498713941,81.0810810810811,36.33008008008009,68.86886886886887,50.0,5,0,1
2025-09-16,000066,73.55287552907869,0,0.005973715651135091,89.32768786355902,73.32338340741703,27.31481481481482,85.23978523978523,50.0,5,0,1
2025-09-16,300308,28.902732165827086,0,0.024500510427300528,19.63515492066004,26.07637649654457,61.1423923923924,26.426426426426424,50.0,1,0,1
2025-09-16,300502,43.71147337180308,0,0.012292118582791034,31.300700407581818,46.99717724927809,64.79604604604606,47.5020475020475,50.0,3,0,1
2025-09-16,688498,36.1111729916569,0,0.07800650054171185,30.584464405840688,30.430550598617824,68.51226226226228,37.00973700973701,50.0,2,0,1
2025-09-16,688195,16.578953987223063,0,0.1912016587036868,4.4121720549246115,13.513513513513516,57.96421421421422,7.261807261807258,50.0,1,0,1
