代码,名称,今开,昨收,最新价,最高,最低,成交量,成交额,涨跌幅,涨跌额,振幅
002415,海康威视,33.68,33.49,33.6,34.0,33.3,40525869,1363939697.66,0.33,0.11,2.09
603019,中科曙光,93.06,91.68,92.76,94.46,90.53,82527225,7657669758.0,1.18,1.08,4.29
688256,寒武纪,1319.64,1323.0,1352.5,1409.58,1281.58,12407144,16760993798.0,2.23,29.5,9.67
300474,景嘉微,60.5,62.12,60.8,61.68,58.88,11685456,704217385.28,-2.12,-1.32,4.51
000977,浪潮信息,73.78,73.83,74.85,75.62,72.0,93362100,6932168578.71,1.38,1.02,4.9
000938,紫光股份,30.88,31.2,31.32,32.15,30.41,247848576,7737031828.61,0.38,0.12,5.58
002230,科大讯飞,48.5,48.89,49.07,49.48,47.75,39198106,1902140238.58,0.37,0.18,3.54
000066,中国长城,17.36,16.19,16.45,17.65,16.45,298731314,5056930186.04,1.61,0.26,7.41
300308,中际旭创,900.25,897.0,886.99,915.0,854.53,38388441,33962426837.55,-1.12,-10.01,6.74
300502,新易盛,552.76,608.28,537.27,566.66,528.01,91387113,50103015555.93,-11.67,-71.01,6.35
688498,源杰科技,1393.99,1394.99,1395.0,1430.14,1345.66,3804950,5294083450.0,0.0,0.01,6.06
688195,腾景科技,359.98,363.0,345.0,361.98,335.1,10281995,3566401795.0,-4.96,-18.0,7.4
002281,光迅科技,129.7,131.68,128.7,135.67,123.0,86801054,11075102512.65,-2.26,-2.98,9.62
688048,长光华芯,380.45,367.0,385.73,410.0,375.0,18500300,7249250770.0,5.1,18.73,9.54
688313,仕佳光子,142.51,139.3,143.5,149.86,138.78,45616532,6594726085.0,3.02,4.2,7.95
688205,德科立,237.0,242.28,229.6,244.91,224.5,14435311,3342728523.0,-5.23,-12.68,8.42
300394,天孚通信,342.32,350.09,323.87,346.07,316.3,55141055,18056053865.99,-7.49,-26.22,8.5
300570,太辰光,129.95,135.03,134.1,135.98,127.24,30487955,4022576095.42,-0.69,-0.93,6.47
603083,剑桥科技,160.0,164.33,153.64,164.26,152.01,39688047,6215099639.0,-6.51,-10.69,7.45
300548,长芯博创,265.15,270.96,260.1,270.95,253.18,22067914,5739609506.83,-4.01,-10.86,6.56
301205,联特科技,265.38,270.23,257.52,271.99,252.01,9721951,2526404733.37,-4.7,-12.71,7.39
000988,华工科技,115.0,117.65,115.32,117.35,113.03,69397026,7975591681.2,-1.98,-2.33,3.67
600498,烽火通信,54.45,55.01,52.26,55.47,51.26,99505778,5247963288.0,-5.0,-2.75,7.65
601869,长飞光纤,378.39,385.02,368.16,385.0,364.35,16406462,6118799352.0,-4.38,-16.86,5.36
600487,亨通光电,68.0,69.52,69.54,71.3,66.55,221203009,15309618265.0,0.03,0.02,6.83
600522,中天科技,34.0,34.07,33.21,34.5,32.58,209921085,7002735957.0,-2.52,-0.86,5.64
002491,通鼎互联,16.34,16.83,15.65,16.8,15.31,186022173,2969243378.52,-7.01,-1.18,8.85
600105,永鼎股份,48.5,48.5,49.01,51.0,47.55,195776992,9626672742.0,1.05,0.51,7.11
002463,沪电股份,105.98,106.62,102.38,107.84,99.82,93224548,9597031184.24,-3.98,-4.24,7.52
002916,深南电路,305.0,301.3,301.36,313.0,293.45,15283019,4613979829.71,0.02,0.06,6.49
600183,生益科技,74.2,74.95,72.63,75.7,71.55,57444807,4199342894.0,-3.1,-2.32,5.54
002938,鹏鼎控股,74.89,75.42,71.59,76.21,70.2,51999938,3763630413.71,-5.08,-3.83,7.97
300476,胜宏科技,325.32,331.95,315.59,333.8,310.46,51592116,16523740724.9,-4.93,-16.36,7.03
002436,兴森科技,28.4,28.4,28.52,29.25,26.98,156347947,4404386695.18,0.42,0.12,7.99
002815,崇达技术,15.32,15.45,15.18,15.51,15.03,25601704,389287044.72,-1.75,-0.27,3.11
603228,景旺电子,71.12,70.0,68.5,72.87,68.44,63332389,4470221188.0,-2.14,-1.5,6.33
603920,世运电路,57.9,58.74,55.26,58.19,55.03,42854332,2403446961.0,-5.92,-3.48,5.38
