板块,平均涨跌幅,成交额(亿),上涨数,下跌数,个股数,最大涨幅,最大跌幅
AI算力,4.82,649.44,5,3,8,20.0,-3.5
CPO(共封装光学),2.2,653.21,7,1,8,8.59,-2.09
OCS(光电路交换),1.29,590.26,3,3,6,8.59,-2.09
光模块,1.14,802.42,5,4,9,8.59,-2.09
PCB,-1.52,338.12,2,7,9,0.91,-3.77
光通信,-3.4,575.56,1,7,8,0.41,-9.36
