代码,名称,今开,昨收,最新价,最高,最低,成交量,成交额,涨跌幅,涨跌额,振幅
002415,海康威视,34.5,34.65,34.81,35.3,34.29,58598289,2036328451.37,0.46,0.16,2.91
603019,中科曙光,90.37,90.9,90.42,91.4,88.95,41080340,3704176574.0,-0.53,-0.48,2.7
688256,寒武纪,1366.0,1374.5,1416.63,1420.0,1346.87,9086007,12679634307.0,3.07,42.13,5.32
300474,景嘉微,61.51,62.12,61.72,62.0,60.7,8148562,500763003.21,-0.64,-0.4,2.09
000977,浪潮信息,70.48,70.83,72.28,73.0,69.69,50964877,3666763890.9,2.05,1.45,4.67
000938,紫光股份,32.5,31.58,32.42,33.62,31.89,255392326,8334139055.29,2.66,0.84,5.48
002230,科大讯飞,47.68,49.17,48.06,48.18,47.01,48923914,2342237704.85,-2.26,-1.11,2.38
000066,中国长城,17.33,17.83,18.02,18.05,16.84,356283487,6231523187.14,1.07,0.19,6.79
300308,中际旭创,816.23,825.0,846.0,863.0,816.23,25173087,21221971379.86,2.55,21.0,5.67
300502,新易盛,529.0,535.46,537.0,549.5,526.0,27564540,14843249571.77,0.29,1.54,4.39
688498,源杰科技,1428.8,1442.67,1515.0,1566.99,1421.0,3889125,5845212530.0,5.01,72.33,10.12
688195,腾景科技,323.0,325.0,323.76,331.5,315.5,5499640,1781254370.0,-0.38,-1.24,4.92
002281,光迅科技,132.53,137.0,132.87,137.3,128.9,56857712,7546946812.21,-3.01,-4.13,6.13
688048,长光华芯,352.06,364.59,351.2,368.5,347.39,15877486,5634387378.0,-3.67,-13.39,5.79
688313,仕佳光子,130.29,134.14,131.16,135.2,128.0,34714930,4578682204.0,-2.22,-2.98,5.37
688205,德科立,245.47,253.01,234.8,249.0,230.3,14585193,3454223416.0,-7.2,-18.21,7.39
300394,天孚通信,305.0,309.8,311.09,317.5,305.0,25408207,7938064475.93,0.42,1.29,4.03
300570,太辰光,140.0,142.62,138.27,142.52,135.67,17648197,2448023914.85,-3.05,-4.35,4.8
603083,剑桥科技,154.5,155.19,170.71,170.71,154.5,29776175,4881575558.0,10.0,15.52,10.45
300548,长芯博创,246.08,246.96,247.5,251.73,239.39,15030083,3716662606.8,0.22,0.54,5.0
301205,联特科技,208.88,252.36,238.92,243.01,208.88,11918128,2750852031.33,-5.33,-13.44,13.52
000988,华工科技,114.39,115.59,119.04,120.5,114.39,83280637,9870030169.1,2.98,3.45,5.29
600498,烽火通信,51.31,52.3,51.5,52.6,50.97,76394487,3943705827.0,-1.53,-0.8,3.12
601869,长飞光纤,365.0,373.49,370.52,375.99,358.1,12297447,4518087120.0,-0.8,-2.97,4.79
600487,亨通光电,67.0,68.29,67.38,68.2,65.35,123763734,8317628140.0,-1.33,-0.91,4.17
600522,中天科技,34.2,35.0,34.28,34.49,33.33,178421740,6066232868.0,-2.06,-0.72,3.31
002491,通鼎互联,16.51,16.56,16.57,16.94,16.27,108763987,1810016252.24,0.06,0.01,4.05
600105,永鼎股份,44.61,44.85,43.32,45.05,42.78,167088698,7292521739.0,-3.41,-1.53,5.06
002463,沪电股份,101.0,101.88,101.98,104.14,99.05,54825131,5596494108.6,0.1,0.1,5.0
002916,深南电路,308.5,314.93,314.51,318.34,302.0,9742409,3042334300.25,-0.13,-0.42,5.19
600183,生益科技,76.66,76.62,78.0,80.87,75.98,73641023,5810891333.0,1.8,1.38,6.38
002938,鹏鼎控股,73.47,74.62,72.82,75.13,72.33,31284126,2293162009.96,-2.41,-1.8,3.75
300476,胜宏科技,306.0,313.06,333.87,343.1,304.0,62582483,20451542980.8,6.65,20.81,12.49
002436,兴森科技,27.47,27.88,27.46,28.0,27.0,107805929,2965954275.78,-1.51,-0.42,3.59
002815,崇达技术,13.99,15.12,14.26,14.64,13.82,66625313,947148597.91,-5.69,-0.86,5.42
603228,景旺电子,72.58,73.32,72.85,74.35,70.61,38727529,2816737610.0,-0.64,-0.47,5.1
603920,世运电路,50.97,53.1,54.71,55.35,50.68,47652332,2561329524.0,3.03,1.61,8.79
