板块,平均涨跌幅,成交额(亿),上涨数,下跌数,个股数,最大涨幅,最大跌幅
PCB,4.47,424.14,9,0,9,10.0,0.57
OCS(光电路交换),2.59,837.73,4,2,6,11.72,-3.38
光通信,2.58,760.88,5,3,8,7.74,-1.26
光模块,1.6,1017.62,5,4,9,11.72,-3.38
AI算力,1.47,378.64,7,1,8,4.74,-2.26
CPO(共封装光学),0.68,857.11,5,3,8,4.52,-3.38
